Id,Name,Beer Full Name,Style,Brewery,Description,ABV,Min IBU,Max IBU,Rating,User Rating,User Comment
0,Amber,Alaskan Brewing Co. Alaskan Amber,Altbier,Alaskan Brewing Co.,"Richly malty and long on the palate, with just enough hop backing to make this beautiful amber colored ""alt"" style beer notably well balanced.",5.3,25,50,3.847082,,
1,Double Bag,Long Trail Brewing Co. Double Bag,Altbier,Long Trail Brewing Co.,"This malty, full-bodied double alt is also known as “Stickebier” – German slang for “secret brew”. Long Trail Double Bag was originally offered only in our brewery taproom as a special treat to our visitors. With an alcohol content of 7.2%, please indulge in moderation. The Long Trail Brewing Company is proud to have Double Bag named Malt Advocate’s “Beer of the Year” in 2001. Malt Advocate is a national magazine devoted to “expanding the boundaries of fine drinks”. Their panel of judges likes to keep things simple, and therefore of thousands of eligible competitors they award only two categories: “Imported” and “Domestic”. It is a great honor to receive this recognition.33 IBU",7.2,25,50,4.034304,,
2,Long Trail Ale,Long Trail Brewing Co. Long Trail Ale,Altbier,Long Trail Brewing Co.,"Long Trail Ale is a full-bodied amber ale modeled after the “Alt-biers” of Düsseldorf, Germany. Our top fermenting yeast and cold finishing temperature result in a complex, yet clean, full flavor. Originally introduced in November of 1989, Long Trail Ale beer quickly became, and remains, the largest selling craft-brew in Vermont. It is a multiple medal winner at the Great American Beer Festival.25 IBU",5.0,25,50,3.830239,,
3,Doppelsticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Doppelsticke,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,,8.5,25,50,4.005435,,
4,Sleigh'r Dark Doüble Alt Ale,Ninkasi Brewing Company Sleigh'r Dark Doüble Alt Ale,Altbier,Ninkasi Brewing Company,"Called 'Dark Double Alt' on the label.Seize the season with Sleigh'r. Layers of deeply toasted malt are balanced by just enough hop bitterness to make it deceivingly drinkable. Paired with a dry finish, Sleigh’r is anything but your typical winter brew.An Alt ferments with Ale yeast at colder lagering temperatures. This effect gives Alts a more refined, crisp lager-like flavor than traditional ales. The Alt has been “Ninkasified” raising the ABV and IBUs. Sleigh'r has a deep, toasted malt flavor that finishes dry and balanced.50 IBU",7.2,25,50,3.817708,,
5,Sticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Sticke,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,,6.0,25,50,4.230159,,
6,Okto Festival Ale,Widmer Brothers Brewing Company Okto,Altbier,Widmer Brothers Brewing Company,Classified as a German Altbier by the Widmer Brothers; brewed with an (ale) Alt yeast strain.availability: early Aug. - late Oct.bitterness : 28 IBUoriginal gravity: 13.5° PLATO,5.3,25,50,3.475806,,
7,Southampton Altbier,Southampton Publick House Southampton Altbier,Altbier,Southampton Publick House,,5.0,25,50,3.738202,,
8,Copper,The Olde Mecklenburg Brewery OMB Copper,Altbier,The Olde Mecklenburg Brewery,"OMB’s flagship, Copper, is an authentic Düsseldorf style “Altbier” or Amber Ale. There are no crazy flavors or gimmicks with Copper – its full-flavored start transitions to a smooth, balanced, easy-drinking finish. It’s the beer that tastes like beer.",4.8,25,50,4.184783,,
9,Organic Münster Alt,Brauerei Pinkus Mueller Organic Münster Alt,Altbier,Brauerei Pinkus Mueller,,5.1,25,50,3.767347,,
